,cilia1,cilia2,angle,segmentation
0,3,4,180.0,4.47213595499958
1,8,9,104.4702941000659,0.0
2,8,10,67.28558764683277,10.0
3,12,13,180.0,3.605551275463989
4,19,20,129.14398641457103,4.47213595499958
5,22,23,180.0,0.0
6,22,24,82.51496104962666,0.0
7,23,24,180.0,0.0
8,25,26,54.92624550665171,0.0
9,26,27,68.96248897457818,4.242640687119285
10,29,30,178.39399701071773,0.0
11,31,32,64.37158112178244,0.0
12,34,35,10.304846468766044,5.830951894845301
13,36,37,71.56505117707799,0.0
14,41,42,130.91438322002512,11.40175425099138
15,43,44,35.53767779197438,0.0
16,45,46,68.34401096157751,0.0
17,48,49,170.40686573726967,0.0
18,48,50,140.06361685303008,2.0
19,49,50,30.343248884239568,2.0
20,53,54,7.125016348901757,2.8284271247461903
21,55,56,29.228051943145136,0.0
22,57,58,53.13010235415598,1.0
23,64,65,45.0,0.0
24,67,68,45.0,9.848857801796104
25,72,73,169.69515353123393,3.0
26,74,75,33.690067525979785,0.0
27,76,77,52.12501634890181,7.0710678118654755
28,78,79,70.3461759419467,0.0
29,81,82,180.0,0.0
30,81,83,44.534190917235,0.0
31,82,83,180.0,0.0
32,84,85,33.690067525979785,5.656854249492381
33,86,87,43.66778014613036,0.0
34,88,89,49.76364169072618,3.605551275463989
35,90,91,69.44395478041653,0.0
36,90,92,24.443954780416533,4.123105625617661
37,93,94,60.461217740441896,4.0
38,95,96,61.60698057861699,7.211102550927978
